X,Y,e_max,hsrX,hsrY,velX,velY,vMag,X2Vel,Y2Vel,AzimuthVel,FD_CCW_TN,X2SR,Y2SR,AzimuthSR,SD_CCW_TN
796422.9089,1986861.348,0.000199536,0.973119675,-0.23023729,-0.144016014,0.462381058,0.484327395,796422.7648,1986861.81,342.7,40,796423.882,1986861.117,103,280
796423.9089,1986856.39,0.000199384,0.973098905,-0.230322879,-0.143586851,0.461357015,0.483223228,796423.7653,1986856.851,342.712,40,796424.8819,1986856.159,103,280
796424.9089,1986851.431,0.000199232,0.97307801,-0.230409025,-0.143157844,0.460332865,0.482118985,796424.7657,1986851.891,342.725,40,796425.8819,1986851.2,103,280
796425.9089,1986846.472,0.000199079,0.973056988,-0.230495735,-0.142729043,0.459308794,0.481014859,796425.7661,1986846.931,342.738,40,796426.8819,1986846.241,103,280
796426.9089,1986841.513,0.000198925,0.973035838,-0.23058301,-0.142300449,0.458284801,0.479910849,796426.7665,1986841.97,342.75,40,796427.8819,1986841.282,103,280
796427.9089,1986836.555,0.00019877,0.97301456,-0.230670856,-0.141872112,0.45726107,0.478807145,796427.767,1986837.012,342.763,40,796428.8819,1986836.324,103,280
796428.9089,1986831.596,0.000198614,0.972993157,-0.230759259,-0.141443931,0.456237233,0.477703367,796428.7674,1986832.051,342.775,40,796429.8818,1986831.365,103,280
796429.9089,1986826.637,0.000198457,0.972971626,-0.230848226,-0.141015956,0.455213474,0.476599705,796429.7678,1986827.091,342.788,40,796430.8818,1986826.406,103,280
796430.9089,1986821.678,0.0001983,0.972949968,-0.230937757,-0.140588188,0.454189794,0.475496159,796430.7683,1986822.132,342.801,40,796431.8818,1986821.447,103,280
796431.9089,1986816.72,0.000198142,0.972928182,-0.231027859,-0.140160676,0.453166376,0.47439292,796431.7687,1986817.173,342.814,40,796432.8818,1986816.488,103,280
796432.9089,1986811.761,0.000197983,0.97290627,-0.231118519,-0.139733321,0.452142851,0.473289606,796432.7691,1986812.213,342.826,40,796433.8818,1986811.529,103,280
796433.9089,1986806.802,0.000197823,0.972884231,-0.231209743,-0.139306173,0.451119405,0.472186408,796433.7695,1986807.253,342.839,40,796434.8817,1986806.57,103,280
796434.9089,1986801.843,0.000197662,0.972862065,-0.231301531,-0.13887923,0.450096037,0.471083326,796434.77,1986802.293,342.852,40,796435.8817,1986801.611,103,280
796435.9089,1986796.885,0.000197469,0.97283696,-0.231405682,-0.138445122,0.449036459,0.469943546,796435.7704,1986797.334,342.865,40,796436.8817,1986796.653,103,280
796436.9089,1986791.926,0.000197256,0.972810076,-0.231517313,-0.138006817,0.447955206,0.468781812,796436.7708,1986792.372,342.877,40,796437.8817,1986791.694,103,280
796437.9089,1986786.967,0.000197044,0.972783077,-0.231629436,-0.137568768,0.446874057,0.46762023,796437.7713,1986787.412,342.889,40,796438.8816,1986786.735,103,280
796438.9089,1986782.009,0.000196831,0.972755963,-0.231742056,-0.137131027,0.445793208,0.466459001,796438.7717,1986782.453,342.902,40,796439.8816,1986781.777,103,280
796439.9089,1986777.05,0.000196618,0.972728736,-0.231855165,-0.13669349,0.444712268,0.465297721,796439.7722,1986777.493,342.914,40,796440.8816,1986776.818,103,280
796440.9089,1986772.091,0.000196405,0.972701393,-0.231968767,-0.136256209,0.443631432,0.464136591,796440.7726,1986772.534,342.926,40,796441.8816,1986771.859,103,280
796441.9089,1986767.132,0.000196192,0.972673937,-0.232082862,-0.135819185,0.4425507,0.462975612,796441.773,1986767.574,342.939,40,796442.8815,1986766.899,103,280
796442.9089,1986762.174,0.000195978,0.972646365,-0.232197453,-0.135382468,0.441470269,0.461814986,796442.7735,1986762.615,342.951,40,796443.8815,1986761.941,103,280
796443.9089,1986757.215,0.000195765,0.972618679,-0.232312534,-0.134945956,0.440389746,0.460654309,796443.7739,1986757.655,342.964,40,796444.8815,1986756.982,103,280
796444.9089,1986752.256,0.000195551,0.972590878,-0.232428107,-0.1345097,0.439309327,0.459493783,796444.7743,1986752.695,342.976,40,796445.8814,1986752.023,103,280
796445.9089,1986747.297,0.000195336,0.972562964,-0.232544174,-0.1340737,0.438229013,0.458333408,796445.7748,1986747.735,342.989,40,796446.8814,1986747.064,103,280
796446.9089,1986742.339,0.000195122,0.972534934,-0.232660736,-0.133638008,0.437148999,0.457173386,796446.7752,1986742.776,343.001,40,796447.8814,1986742.106,103,280
796447.9089,1986737.38,0.000194907,0.97250679,-0.232777788,-0.133202521,0.436068893,0.456013312,796447.7756,1986737.816,343.014,40,796448.8814,1986737.147,103,280
796448.9089,1986732.421,0.000194692,0.972478531,-0.232895333,-0.132767289,0.434988891,0.45485339,796448.7761,1986732.855,343.027,40,796449.8813,1986732.188,103,280
796449.9089,1986727.462,0.000194477,0.972450158,-0.233013371,-0.132332314,0.433908994,0.453693618,796449.7765,1986727.895,343.039,40,796450.8813,1986727.228,103,280
796450.9089,1986722.504,0.000194262,0.97242167,-0.233131904,-0.131897647,0.432829397,0.452534199,796450.777,1986722.936,343.052,40,796451.8813,1986722.27,103,280
796451.9089,1986717.545,0.000194046,0.972393068,-0.233250928,-0.131463184,0.431749709,0.451374729,796451.7774,1986717.976,343.065,40,796452.8812,1986717.311,103,280
796452.9089,1986712.586,0.00019383,0.972364352,-0.233370444,-0.131028977,0.430670125,0.45021541,796452.7778,1986713.016,343.078,40,796453.8812,1986712.352,103,280
796453.9089,1986707.627,0.000193614,0.972335521,-0.233490454,-0.130595026,0.429590645,0.449056242,796453.7783,1986708.056,343.091,40,796454.8812,1986707.393,104,279
796454.9089,1986702.669,0.000193398,0.972306574,-0.233610958,-0.130161383,0.428511465,0.447897427,796454.7787,1986703.097,343.104,40,796455.8812,1986702.435,104,279
796455.9089,1986697.71,0.000193166,0.972275445,-0.233740575,-0.129722346,0.427404037,0.446710023,796455.7791,1986698.137,343.116,40,796456.8811,1986697.476,104,279
796456.9089,1986692.751,0.000192917,0.972241799,-0.23388068,-0.129277082,0.426263919,0.44548954,796456.7796,1986693.176,343.129,40,796457.8811,1986692.517,104,279
796457.9089,1986687.792,0.000192667,0.972208049,-0.234021207,-0.128832129,0.425123936,0.444269248,796457.78,1986688.216,343.141,40,796458.8811,1986687.557,104,279
796458.9089,1986682.834,0.000192417,0.972174198,-0.234162153,-0.128387542,0.423984296,0.443049363,796458.7805,1986683.257,343.153,40,796459.881,1986682.599,104,279
796459.9089,1986677.875,0.000192166,0.972140243,-0.234303522,-0.127943213,0.422844583,0.441829454,796459.7809,1986678.297,343.165,40,796460.881,1986677.64,104,279
796460.9089,1986672.916,0.000191916,0.972106185,-0.234445313,-0.127499196,0.421705006,0.440609736,796460.7814,1986673.337,343.178,40,796461.881,1986672.681,104,279
796461.9089,1986667.957,0.000191665,0.972072025,-0.234587526,-0.127055491,0.420565563,0.439390209,796461.7818,1986668.377,343.19,40,796462.8809,1986667.722,104,279
796462.9089,1986662.999,0.000191414,0.972037762,-0.234730158,-0.126612152,0.419426463,0.438171089,796462.7822,1986663.418,343.203,40,796463.8809,1986662.764,104,279
796463.9089,1986658.04,0.000191162,0.972003396,-0.234873213,-0.126169071,0.418287291,0.436951945,796463.7827,1986658.458,343.215,40,796464.8809,1986657.805,104,279
796464.9089,1986653.081,0.000190911,0.971968927,-0.235016689,-0.125726301,0.417148253,0.435732993,796464.7831,1986653.497,343.227,40,796465.8808,1986652.845,104,279
796465.9089,1986648.122,0.000190659,0.971934356,-0.235160587,-0.125283844,0.416009351,0.434514231,796465.7836,1986648.537,343.24,40,796466.8808,1986647.886,104,279
796466.9089,1986643.164,0.000190407,0.971899682,-0.235304905,-0.124841752,0.414870792,0.433295876,796466.784,1986643.578,343.253,40,796467.8807,1986642.928,104,279
796467.9089,1986638.205,0.000190155,0.971864905,-0.235449646,-0.124399918,0.41373216,0.432077498,796467.7845,1986638.618,343.265,40,796468.8807,1986637.969,104,279
796468.9089,1986633.246,0.000189902,0.971830025,-0.235594808,-0.123958397,0.412593662,0.43085931,796468.7849,1986633.658,343.278,40,796469.8807,1986633.01,104,279
796469.9089,1986628.287,0.000189649,0.971795042,-0.235740392,-0.123517187,0.4114553,0.429641314,796469.7853,1986628.698,343.29,40,796470.8806,1986628.051,104,279
796470.9089,1986623.329,0.000189396,0.971759958,-0.235886395,-0.123076343,0.410317282,0.428423724,796470.7858,1986623.739,343.303,40,796471.8806,1986623.093,104,279
796471.9089,1986618.37,0.000189143,0.97172477,-0.236032821,-0.122635757,0.40917919,0.427206111,796471.7862,1986618.779,343.316,40,796472.8806,1986618.133,104,279
796472.9089,1986613.411,0.00018889,0.971689479,-0.23617967,-0.122195483,0.408041233,0.425988689,796472.7867,1986613.818,343.329,40,796473.8805,1986613.174,104,279
796473.9089,1986608.452,0.000188636,0.971654085,-0.236326939,-0.121755521,0.406903411,0.424771458,796473.7871,1986608.858,343.342,40,796474.8805,1986608.215,104,279
796474.9089,1986603.494,0.000188382,0.971618589,-0.236474628,-0.121315924,0.405765933,0.423554633,796474.7875,1986603.899,343.354,40,796475.8805,1986603.257,104,279
796475.9089,1986598.535,0.000188122,0.971581653,-0.236628231,-0.120872997,0.404609893,0.422319071,796475.7879,1986598.939,343.367,40,796476.8804,1986598.298,104,279
796476.9089,1986593.576,0.000187848,0.971541443,-0.236795275,-0.120421863,0.403409916,0.421039094,796476.7884,1986593.979,343.379,40,796477.8804,1986593.339,104,279
796477.9089,1986588.617,0.000187573,0.971501152,-0.23696262,-0.119971103,0.402210109,0.419759355,796477.7889,1986589.019,343.391,40,796478.8804,1986588.38,104,279
796478.9089,1986583.659,0.000187299,0.971460782,-0.23713026,-0.119520772,0.401010694,0.418480081,796478.7892,1986584.06,343.403,40,796479.8803,1986583.421,104,279
796479.9089,1986578.7,0.000187023,0.971420331,-0.237298207,-0.11907076,0.399811228,0.417200816,796479.7898,1986579.098,343.416,40,796480.8803,1986578.462,104,279
796480.9089,1986573.741,0.000186748,0.971379799,-0.237466455,-0.118621121,0.398611932,0.415921789,796480.7902,1986574.139,343.428,40,796481.8802,1986573.503,104,279
796481.9089,1986568.782,0.000186472,0.971339187,-0.237635005,-0.118171855,0.397412807,0.414642999,796481.7907,1986569.179,343.44,40,796482.8802,1986568.544,104,279
796482.9089,1986563.824,0.000186196,0.971298497,-0.237803849,-0.117723019,0.396214072,0.413364673,796482.7911,1986564.22,343.452,40,796483.8801,1986563.586,104,279
796483.9089,1986558.865,0.00018592,0.971257725,-0.237973001,-0.117274501,0.395015287,0.412086358,796483.7916,1986559.26,343.465,40,796484.8801,1986558.627,104,279
796484.9089,1986553.906,0.000185644,0.971216873,-0.238142454,-0.116826356,0.393816673,0.410808279,796484.792,1986554.299,343.477,40,796485.8801,1986553.667,104,279
796485.9089,1986548.948,0.000185367,0.971175942,-0.238312202,-0.11637864,0.392618449,0.409530665,796485.7925,1986549.34,343.489,40,796486.88,1986548.709,104,279
796486.9089,1986543.989,0.00018509,0.97113493,-0.238482257,-0.115931243,0.391420175,0.408253062,796486.7929,1986544.379,343.502,39,796487.88,1986543.75,104,279
796487.9089,1986539.03,0.000184812,0.971093837,-0.238652613,-0.115484219,0.390222072,0.406975695,796487.7934,1986539.419,343.514,39,796488.8799,1986538.791,104,279
796488.9089,1986534.071,0.000184535,0.971052664,-0.238823271,-0.115037569,0.389024139,0.405698566,796488.7938,1986534.46,343.527,39,796489.8799,1986533.832,104,279
796489.9089,1986529.13,0.000184258,0.97101144,-0.238994113,-0.114592286,0.387830343,0.40442576,796489.7943,1986529.517,343.539,39,796490.8799,1986528.891,104,279
796490.9089,1986524.251,0.000183984,0.970970236,-0.239164849,-0.114150794,0.386650382,0.403167265,796490.7947,1986524.637,343.552,39,796491.8798,1986524.011,104,279
796491.9089,1986519.372,0.000183709,0.970928953,-0.239335882,-0.113709669,0.385470589,0.401909002,796491.7951,1986519.757,343.565,39,796492.8798,1986519.132,104,279
796492.9089,1986514.493,0.000183434,0.970887591,-0.239507212,-0.113268912,0.384290963,0.400650974,796492.7956,1986514.877,343.577,39,796493.8797,1986514.253,104,279
796493.9089,1986509.614,0.000183159,0.970846151,-0.239678837,-0.112828522,0.383111504,0.399393178,796493.796,1986509.997,343.59,39,796494.8797,1986509.374,104,279
796494.9089,1986504.735,0.000182884,0.970804631,-0.239850759,-0.1123885,0.381932213,0.398135616,796494.7965,1986505.115,343.603,39,796495.8797,1986504.495,104,279
